estacion,tendencia_m_año,r2,p_valor,n_mediciones,nivel_medio,rango_m,año_inicio,año_fin,x,y,masa_agua
QLSub - Pou Sr. Josep Soms,-0.19107181059221265,0.1884176288482375,0.018637781171664754,29.0,2.8984827586206894,14.84,2001.0,2024.0,480423.0,4612106.0,Al·luvials de la baixa i delta de la Tordera
QLSub - Pou Sr. Lloret,0.4666204213447178,0.3539960143163557,0.007205997707209029,19.0,-3.794684210526316,17.55,2004.0,2024.0,450366.02,4595805.52,Maresme
QLSub - Pou Sr. Riera,-0.017639283350798368,0.03641737274339058,0.49569556424912864,15.0,-1.3520666666666667,2.44,2005.0,2025.0,479935.0,4611027.0,Al·luvials de la baixa i delta de la Tordera
QLSub - Pou Sr. Suqué,0.02717488744027897,0.26994611121508977,0.0687961191233782,13.0,-0.8721923076923077,1.09,2008.0,2025.0,479442.0,4611079.0,Al·luvials de la baixa i delta de la Tordera
QLSub - Pou Sr. Toni Privat,-1.220551358144252,0.1613542878666024,0.08824657515000407,19.0,0.9863157894736844,6.73,2001.0,2004.0,479832.0,4611020.0,Al·luvials de la baixa i delta de la Tordera
QLSub - Pou St. Jordi 1 (Barranc) (Pou Informació),-0.01764443241517747,0.0053763318026300915,0.39802260913480847,135.0,0.40429629629629626,27.529999999999998,2000.0,2024.0,316113.0,4532090.0,l'Ametlla de Mar- Perelló
"QLSub - Pou Supermercat - Grup Supeco Maxor, Sl",0.3118656309732952,0.5970743746361841,0.0032149625130715054,12.0,1140.2633333333333,6.599999999999909,2013.0,2026.0,411257.0,4697657.0,La Cerdanya
"QLSub - Pou Talleres Velilla, Sa",-0.09357911114733329,0.1581780121893412,0.25504296254722164,10.0,149.11329999999998,5.478499999999997,2005.0,2023.0,440374.1,4607997.62,Al·luvials del Vallès
QLSub - Pou Terrer - Ajmt Salou,-0.04626009984570698,0.12658707650944706,0.23282741016990996,13.0,1.5399999999999996,3.91,2002.0,2023.0,344082.5,4549246.26,Baix Francolí
QLSub - Pou Tordera 1 - Ajmt Maçanet Selva (Sorea),-0.21672230834985778,0.37219117398845436,0.03515831188838909,12.0,34.25402777777777,4.549999999999997,2010.0,2025.0,474439.9,4621253.3,Al·luvials de l'alta i mitjana Tordera
"QLSub - Pou Torres Descarrega, Jose (Mañé)",0.016553723259701437,0.022680142613869397,0.6779346066162389,10.0,18.118,2.289999999999999,2002.0,2025.0,302629.44,4549630.57,Fossa de Móra
QLSub - Pou Tuxans I Sgab,0.11068923278794224,0.26561605871710625,1.2455496755069403e-09,122.0,39.868442622950816,3.299999999999997,2000.0,2010.0,432724.37,4595334.81,Detrític neogen del Vallès
QLSub - Pou Urb St. Jordi 2 (Pou Bosc Antic),-1.3675317247600913,0.5739562766106115,7.514051058671309e-48,250.0,24.528119999999994,53.08,2000.0,2024.0,314745.0,4532354.0,l'Ametlla de Mar- Perelló
QLSub - Pou Urb. Vistamar,-0.22030528059535784,0.10469741464999494,0.3617576664235504,10.0,22.483,7.489999999999998,2003.0,2011.0,466979.13,4606759.41,Maresme
QLSub - Pou Urbanitzacio Cala Nova,0.15596266025530725,0.0822689939055699,0.42168884066916523,10.0,-8.764999999999999,6.34,2013.0,2022.0,315776.0,4529665.0,l'Ametlla de Mar- Perelló
QLSub - Pou Urbanizació St. Jordi,0.22714462363347798,0.02564053587532127,0.028157387577609685,188.0,3.1136170212765957,57.75,2000.0,2012.0,314746.33,4532445.45,l'Ametlla de Mar- Perelló
QLSub - Pou V. Piug De Mar Coromines,-0.2650269684073302,0.41009384100959767,2.7273184927338663e-10,78.0,453.5197435897436,14.5,2008.0,2024.0,463596.88,4666076.53,Fluviovolcànic de la Garrotxa
QLSub - Pou Valleta 2 O Valleta - Ajmt Llançà,-0.20687948441660592,0.19451370398265272,0.17451570434224845,11.0,-0.7763636363636363,7.85,2010.0,2025.0,511885.0,4689918.0,Al·luvials de l'Albera i Cap de Creus
QLSub - Pou Vedruna (Casc Urbà),-0.7992016850046509,0.438916044523363,1.668075333736811e-25,191.0,353.192722513089,29.80000000000001,2008.0,2026.0,461610.41,4656327.86,"Al·luvials del Ter Mig, Brugent i Llémena"
QLSub - Pou Vell Escola_Ajmt Vilamacolum,0.2561666387144848,0.6738957172688579,0.00195422744147742,11.0,-1.457272727272727,6.61,2005.0,2026.0,504821.68,4671565.23,Fluviodeltaic del Fluvià - Muga
QLSub - Pou Vell Jaume Abras Sa,-0.045442258527256585,0.045488500962541596,0.4641022095063808,14.0,89.65999999999998,3.530000000000001,2009.0,2026.0,483826.39,4637950.33,Plioquaternari de l'Onyar
QLSub - Pou Ventós,-0.057821191480531414,0.1373070010837424,5.2719318546493434e-08,203.0,7.189950738916256,8.41,2000.0,2024.0,287947.21,4522461.64,Plana de la Galera
QLSub - Pou Vidal,0.11289134780342798,0.024460047645815833,0.5488848034856808,17.0,-2.537470588235294,19.16,2004.0,2023.0,475681.16,4608710.35,Maresme
QLSub - Pou Vila-Robau,0.17691217078874774,0.48906436481529325,0.011369053950182876,12.0,10.037583333333334,4.678999999999999,2007.0,2023.0,500563.65,4668182.25,Fluviodeltaic del Fluvià - Muga
QLSub - Pou Vila-Sana 1 (Pol. 10 Parc. 5),0.08556738883051765,0.1343378001757336,0.2180274582809551,13.0,234.19615384615383,3.5700000000000216,2012.0,2026.0,324614.96,4613179.5,Al·luvial d'Urgell
"QLSub - Pou Vivers Espígol, Sl",-0.05096929401614293,0.016881111689462675,0.657980226358784,14.0,7.553000000000002,6.090000000000001,2011.0,2025.0,479419.0,4614675.0,Al·luvials de la baixa i delta de la Tordera
QLSub - Pou Vivers Riu D'Aura,0.16316041455284172,0.17633914120268235,0.1531270670291027,13.0,-5.07076923076923,7.569999999999999,2010.0,2026.0,502708.0,4628377.0,Al·luvials de la Baixa Costa Brava
QLSub - Pou Zona Esportiva - Ajmt Torelló,0.7163977335917209,0.04455536815715541,0.4501511440085366,15.0,483.0639999999999,92.0,2004.0,2025.0,438765.15,4654991.9,Plana de Vic - Collsacabra
QLSub - Pou-3 Nou -Captació Del Pla- Ajuntament De Calonge,0.7902403661253271,0.19126985591145343,0.1178621975692987,14.0,-2.7664285714285706,35.42,2008.0,2023.0,508024.4,4633399.14,Al·luvials de la Baixa Costa Brava
QLSub - Pou-6 (Ajmt Santa Oliva),0.19858127122974067,0.09175025633943834,5.371019018943242e-05,172.0,89.47523255813954,21.72,2000.0,2024.0,379103.1,4568957.1,Sorres de Santa Oliva
QLSub - Pou-6 - Ajuntament De Calonge,-0.0017599470528856598,4.29300128107541e-06,0.9954676159107254,10.0,1.6509999999999998,10.4,2008.0,2021.0,506650.4,4633883.15,Al·luvials de la Baixa Costa Brava
QLSub - Pou-797 Josep Rovira Salvador,-0.21234007992321283,0.33572880399942934,0.07918124938071495,10.0,-5.142016666666667,5.36,2009.0,2024.0,450457.03,4596563.52,Maresme
QLSub - Pozo Carretera,-0.2501291525218461,0.08901242696367875,2.6586594328645024e-06,239.0,304.3751046025105,52.900000000000034,2000.0,2024.0,280121.32,4538659.73,Ports de Beseit (CHE)_Cat
QLSub - Ptda La Font,9.595302278495787,0.5438474118640882,0.014926506933592787,10.0,260.371,239.11,2008.0,2026.0,322756.0,4607899.0,N/D - Subterrània
QLSub - Ptda.Espardà,0.09259546864389377,0.2247158477172944,0.11948920340735869,12.0,203.38000000000002,2.3300000000000125,2010.0,2023.0,316006.0,4611852.0,Al·luvial d'Urgell
QLSub - Ramon Buira,0.7912476746571374,0.3784110571708663,0.05836592589735521,10.0,379.924,14.779999999999973,2012.0,2025.0,297196.0,4635987.0,N/D - Subterrània
QLSub - Ranxo Santana,0.06505852848350192,0.525455532000774,0.017700486464868985,10.0,148.195,1.8100000000000023,2008.0,2025.0,396005.9,4590895.93,Detrític neogen del Penedès
QLSub - S-2 (4),-0.17888925656504073,0.1845063301358353,3.348721669604708e-08,152.0,451.0515789473684,10.42999999999995,2012.0,2026.0,352573.0,4586206.0,Prades - Alt Francolí
QLSub - S-5 (5),-0.0854766158612712,0.023239409795265623,0.0732044700004528,139.0,509.3987050359712,9.310000000000002,2012.0,2024.0,354946.0,4585821.0,Prades - Alt Francolí
QLSub - Sabadell-1,0.5729699154428689,0.4422811641514028,1.4921861890486574e-22,166.0,119.36668674698797,35.45,2000.0,2024.0,425786.0,4601929.7,Detrític neogen del Vallès
QLSub - Sabadell-2,0.5184730812825317,0.24156741516627858,1.7687543585768974e-11,166.0,106.72831325301203,33.36,2000.0,2024.0,425786.6,4601929.8,Detrític neogen del Vallès
QLSub - Sabadell-3,0.7919789366880788,0.8308129180780314,1.487833891961528e-65,167.0,115.9846706586826,22.83,2000.0,2024.0,425789.7,4601930.9,Detrític neogen del Vallès
QLSub - Sanahuja,0.02106543797045876,0.006367523589902355,0.7774141496453287,15.0,120.42066666666666,6.0,2002.0,2023.0,351040.66,4568531.23,Baix Camp
